0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:47:00 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:47:07 -0400] "GET /atm-api/654321/history?start=06-17-2020&end=06-18-2021 HTTP/1.1" 200 5113
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:47:07 -0400] "GET /atm-ui/resources/images/back-arrow.png HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:47:11 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:47:22 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:47:33 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:47:44 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:47:55 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:48:06 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:48:17 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:48:28 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:48:39 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:48:42 -0400] "GET /atm-api/111222/history?start=04-18-2020&end=0 HTTP/1.1" 200 5381
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:48:42 -0400] "GET /atm-ui/resources/images/back-arrow.png HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:48:50 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:01 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:12 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
